475089 haben, habe, hat, hatte, hätte, habe, habt, haben, gehabt
280534 sein, bin, ist, war, wäre, sei, seid, sein, gewesen
194284 werden, werde, wird, wurde, würde, werde, werdet, sein, geworden
152494 können, kann, kann, konnte, könnte, —, —, haben, gekonnt
148970 sagen, sage, sagt, sagte, sagte, sag, sagt, haben, gesagt
147231 machen, mache, macht, machte, machte, mache, macht, haben, gemacht
140022 gehen, gehe, geht, ging, ginge, geh, geht, sein, gegangen
137036 tun, tue, tut, tat, täte, tue, tut, haben, getan
135747 sehen, sehe, sieht, sah, sähe, siehe, seht, haben, gesehen
120690 wissen, weiß, weiß, wusste, wüsste, wisse, wisset, haben, gewusst
120043 müssen, muss, muss, musste, müsste, —, —, haben, gemusst
108302 leben, lebe, lebt, lebte, lebte, lebe, lebt, haben, gelebt
101561 kommen, komme, kommt, kam, käme, komm, kommt, sein, gekommen
95326 wollen, will, will, wollte, wollte, —, —, haben, gewollt
85608 lassen, lasse, lässt, ließ, ließe, lass, lasst, haben, gelassen
80743 meinen, meine, meint, meinte, meinte, meine, meint, haben, gemeint
63011 reden, rede, redet, redete, redete, red, redet, haben, geredet
52788 finden, finde, findet, fand, fände, finde, findet, haben, gefunden
52622 helfen, helfe, hilft, half, hülfe, hilf, helft, haben, geholfen
51135 geben, gebe, gibt, gab, gäbe, gib, gebt, haben, gegeben
48247 hören, höre, hört, hörte, hörte, hör, hört, haben, gehört
44539 sollen, soll, soll, sollte, sollte, —, —, haben, gesollt
43700 bleiben, bleibe, bleibt, blieb, bliebe, bleibe, bleibt, sein, geblieben
41790 nehmen, nehme, nimmt, nahm, nähme, nimm, nehmt, haben, genommen
41071 bringen, bringe, bringt, brachte, brächte, bring, bringt, haben, gebracht
40600 essen, esse, isst, aß, äße, iss, esst, haben, gegessen
39944 glauben, glaube, glaubt, glaubte, glaubte, glaub, glaubt, haben, geglaubt
38499 brauchen, brauche, braucht, brauchte, brauchte, brauche, braucht, haben, gebraucht
36827 warten, warte, wartet, wartete, wartete, warte, wartet, haben, gewartet
36308 fragen, frage, fragt, fragte, fragte, frag, fragt, haben, gefragt
34019 sprechen, spreche, spricht, sprach, spräche, sprich, sprecht, haben, gesprochen
33202 halten, halte, hält, hielt, hielte, halt, haltet, haben, gehalten
32332 denken, denke, denkt, dachte, dächte, denk, denkt, haben, gedacht
30412 bekommen, bekomme, bekommt, bekam, bekäme, bekomm, bekommt, haben, bekommen
30171 vergessen, vergesse, vergisst, vergaß, vergäße, vergiss, vergesst, haben, vergessen
30103 kennen, kenne, kennt, kannte, kennte, kenne, kennt, haben, gekannt
28571 töten, töte, tötet, tötete, tötete, töte, tötet, haben, getötet
28565 fahren, fahre, fährt, fuhr, führe, fahr, fahrt, sein, gefahren
27336 sterben, sterbe, stirbt, starb, stürbe, stirb, sterbt, sein, gestorben
25905 stehen, stehe, steht, stand, stünde, stehe, steht, haben, gestanden
24548 treffen, treffe, trifft, traf, träfe, triff, trefft, haben, getroffen
24085 arbeiten, arbeite, arbeitet, arbeitete, arbeitete, arbeite, arbeitet, haben, gearbeitet
23565 sorgen, sorge, sorgt, sorgte, sorgte, sorg, sorgt, haben, gesorgt
22808 verstehen, verstehe, versteht, verstand, verstände, verstehe, versteht, haben, verstanden
22616 spielen, spiele, spielt, spielte, spielte, spiel, spielt, haben, gespielt
22456 suchen, suche, sucht, suchte, suchte, suche, sucht, haben, gesucht
22259 versuchen, versuche, versucht, versuchte, versuchte, versuche, versucht, haben, versucht
20816 stunden, stunde, stundet, stundete, stundete, stunde, stundet, haben, gestundet
20791 holen, hole, holt, holte, holte, hole, holt, haben, geholt
20653 verlassen, verlasse, verlässt, verließ, verließe, verlasse, verlasst, haben, verlassen
19694 zeigen, zeige, zeigt, zeigte, zeigte, zeige, zeigt, haben, gezeigt
19663 gefallen, gefalle, gefällt, gefiel, gefiele, gefalle, gefallt, haben, gefallen
19361 wagen, wage, wagt, wagte, wagte, wage, wagt, haben, gewagt
19084 erzählen, erzähle, erzählt, erzählte, erzählte, erzähl, erzählt, haben, erzählt
18283 schlafen, schlafe, schläft, schlief, schliefe, schlaf, schlaft, haben, geschlafen
18281 entschuldigen, entschuldige, entschuldigt, entschuldigte, entschuldigte, entschuldige, entschuldigt, haben, entschuldigt
17564 trinken, trinke, trinkt, trank, tränke, trink, trinkt, haben, getrunken
17230 stellen, stelle, stellt, stellte, stellte, stelle, stellt, haben, gestellt
