1-wöchig, —, —
10-jährig, —, —
10-wöchig, —, —
100pro, —, —
2-wöchig, —, —
3-wöchig, —, —
4-wöchig, —, —
5-wöchig, —, —
59-jährig, -, -
6-wöchig, —, —
7-wöchig, —, —
8-wöchig, —, —
9-wöchig, —, —
ABC-Waffen-frei, —, —
Aachener, —, —
Aargauer, —, —
Aleppiner, —, —
Beiruter, —, —
Bergamasker, —, —
Budapester, —, —
Bündner, —, —
CDU-geführt, —, —
D-Zug-artig, –, –
Damaszener, —, —
EDV-gestützt, –, –
EU-weit, —, —
Genueser, —, —
HDTV-tauglich, —, —
HIV-infiziert, —, —
HIV-negativ, —, —
HIV-positiv, —, —
Habelschwerdter, —, —
Julianisch, —, —
Kairener, —, —
Kairoer, —, —
Kosten deckend, —, —
Krebs erregend, Krebs erregender, Krebs erregendsten
Krieg führend, —, —
Kärntner, —, —
L-förmig, —, —
Lyoner, —, —
NP-vollständig, —, —
SPD-geführt, —, —
Saarlouiser, —, —
Salzburger, —, —
Sankt, —, —
Tarentiner, —, —
Tb-krank, -, -
Tbc-krank, -, -
Tiroler, —, —
Tokioter, —, —
Turing-mächtig, —, —
U-förmig, —, —
US-amerikanisch, US-amerikanischer, US-amerikanischsten
V-förmig, -, -
Veroneser, —, —
Vorarlberger, —, —
Wachauer, —, —
Wuppertaler, —, —
X-beinig,  -, -
X-förmig,  -, -
Y-förmig, -, -
aalartig, —, —
aalförmig, —, —
aalglatt, aalglatter, aalglattesten
aalgleich, —, —
aalähnlich, —, —
aargauisch, aargauischer, aargauischsten
aasfressend, —, —
aasfressig, —, —
aasfräßig, —, —
aasig, aasiger, aasigsten
abaissiert, —, —
abakteriell, -, -
abartig, abartiger, abartigsten
abatisch, abatischer, abatischsten
abaxial, -, -
abbaubar, —, —
abbauwürdig, —, —
abbildbar, —, —
abbruchreif, abbruchreifer, abbruchreifsten
abchasisch, —, —
abderitisch, abderitischer, abderitischsten
abdikativ, —, —
abdingbar, —, —
abdominal, —, —
abdominell, —, —
abendfüllend, abendfüllender, abendfüllendsten
abendlich, —, —
abendländisch, —, —
abenteuerdurstig, abenteuerdurstiger, abenteuerdurstigsten
abenteuerhungrig, abenteuerhungriger, abenteuerhungrigsten
abenteuerlich, abenteuerlicher, abenteuerlichsten
abenteuerlustig, abenteuerlustiger, abenteuerlustigsten
abenteuersüchtig, abenteuersüchtiger, abenteuersüchtigsten
abergläubig, abergläubiger, abergläubigsten
abergläubisch, abergläubischer, abergläubischsten
aberhundert, -, -
abermalig, —, —
aberrant, —, —
aberwitzig, aberwitziger, aberwitzigsten
abessinisch, —, —
abfahrbereit, —, —
abfahrend , -, -
abfahrtbereit, —, —
abflugbereit, -, -
abflusslos, —, —
abfällig, abfälliger, abfälligsten
abgabenfrei, —, —
abgebrochen, -, -
abgebrüht, abgebrühter, abgebrühtesten
abgedreht, abgedrehter, abgedrehtesten
abgefahren, abgefahrener, abgefahrensten
abgefallen , -, -
abgefeimt, abgefeimter, abgefeimtesten
abgefuckt, abgefuckter, abgefucktesten
abgegrenzt , –, –
abgegriffen, abgegriffener, abgegriffensten
abgehalftert, —, —
abgehetzt , abgehetzter, abgehetztesten
abgehoben , abgehobener, abgehobensten
abgekartet, —, —
abgeklärt, abgeklärter, abgeklärtesten
abgeknickt, -, -
abgekämpft, abgekämpfter, abgekämpftesten
abgelaufen, -, -
abgelegen, abgelegener, abgelegensten
abgelehnt, -, -
abgelenkt, abgelenkter, abgelenktesten
abgemacht, —, —
abgeneigt, abgeneigter, abgeneigtesten
abgenutzt, abgenutzter, abgenutztesten
abgepasst, abgepasster, abgepasstesten
abgerissen, abgerissener, abgerissensten
abgeschabt, abgeschabter, abgeschabtesten
abgeschieden, abgeschiedener, abgeschiedensten
abgeschlagen, -, -
abgeschlossen, abgeschlossener, abgeschlossensten
abgeschmackt, abgeschmackter, abgeschmacktesten
abgeschwollen, abgeschwollener, abgeschwollensten
abgesichert, abgesicherter, abgesichertsten
abgesprochen, -, -
abgewetzt, abgewetzter, abgewetztesten
abgängig, —, —
abgöttisch, abgöttischer, abgöttischsten
abhold, abholder, abholdesten
abhängig, abhängiger, abhängigsten
abhörsicher, abhörsicherer, abhörsichersten
