aalen, aale, aalt, aalte, aalte, aal, aalt, haben, geaalt
aasen, aase, aast, aaste, aaste, aase, aast, haben, geaast
abaasen, aase ab, aast ab, aaste ab, aaste ab, aase ab, aast ab, haben, abgeaast
abacheln, achele ab, achelt ab, achelte ab, achelte ab, achele ab, achelt ab, haben, abgeachelt
abachen, ache ab, acht ab, achte ab, achte ab, ach ab, acht ab, haben, abgeacht
abackern, ackere ab, ackert ab, ackerte ab, ackerte ab, ackere ab, ackert ab, haben, abgeackert
abaissieren, abaissiere, abaissiert, abaissierte, abaissierte, abaissiere, abaissiert, haben, abaissiert
abalienieren, abalieniere, abalieniert, abalienierte, abalienierte, abalieniere, abalieniert, haben, abalieniert
abandonnieren, abandonniere, abandonniert, abandonnierte, abandonnierte, abandonniere, abandonniert, haben, abandonniert
abarbeiten, arbeite ab, arbeitet ab, arbeitete ab, arbeitete ab, arbeite ab, arbeitet ab, haben, abgearbeitet
abarten, arte ab, artet ab, artete ab, artete ab, arte ab, artet ab, sein, abgeartet
abasten, aste ab, astet ab, astete ab, astete ab, aste ab, astet ab, haben, abgeastet
abatmen, atme ab, atmet ab, atmete ab, atmete ab, atme ab, atmet ab, haben, abgeatmet
abbacken, backe ab, backt ab, backte ab, backte ab, back ab, backt ab, haben, abgebackt
abbacken, backe ab, backt ab, buk ab, büke ab, back ab, backt ab, haben, abgebacken
abbaden, bade ab, badet ab, badete ab, badete ab, bade ab, badet ab, haben, abgebadet
abbaggern, baggere ab, baggert ab, baggerte ab, baggerte ab, bagger ab, baggert ab, haben, abgebaggert
abbaken, bake ab, bakt ab, bakte ab, bakte ab, bake ab, bakt ab, haben, abgebakt
abbalgen, balge ab, balgt ab, balgte ab, balgte ab, balg ab, balgt ab, haben, abgebalgt
abballern, ballere ab, ballert ab, ballerte ab, ballerte ab, ballere ab, ballert ab, haben, abgeballert
abbalzen, balze ab, balzt ab, balzte ab, balzte ab, balz ab, balzt ab, haben, abgebalzt
abbangen, bange ab, bangt ab, bangte ab, bangte ab, bang ab, bangt ab, haben, abgebangt
abbasten, baste ab, bastet ab, bastete ab, bastete ab, baste ab, bastet ab, haben, abgebastet
abbauen, baue ab, baut ab, baute ab, baute ab, baue ab, bauet ab, haben, abgebaut
abbaumen, baume ab, baumt ab, baumte ab, baumte ab, baum ab, baumt ab, haben, abgebaumt
abbedingen, bedinge ab, bedingt ab, bedang ab, bedänge ab, beding ab, bedingt ab, haben, abbedingt
abbeereln, beerel ab, beerelt ab, beerelte ab, beerelte ab, beerel ab, beerelt ab, haben, abgebeerelt
abbeeren, beere ab, beert ab, beerte ab, beerte ab, beer ab, beert ab, haben, abgebeert
abbefehlen, befehle ab, befiehlt ab, befahl ab, beföhle ab, befiehl ab, befiehlt ab, haben, abbefohlen
abbegehren, begehre ab, begehrt ab, begehrte ab, begehrte ab, begehr ab, begehrt ab, haben, abbegehrt
abbehalten, behalte ab, behält ab, behielt ab, behielte ab, behalte ab, behaltet ab, haben, abbehalten
abbeizen, beize ab, beizt ab, beizte ab, beizte ab, beiz ab, beizt ab, haben, abgebeizt
abbeißen, beiße ab, beißt ab, biss ab, bisse ab, beiß ab, beißt ab, haben, abgebissen
abbekommen, bekomme ab, bekommt ab, bekam ab, bekäme ab, bekomm ab, bekommt ab, haben, abbekommen
abberufen, berufe ab, beruft ab, berief ab, beriefe ab, beruf ab, beruft ab, haben, abberufen
abbestellen, bestelle ab, bestellt ab, bestellte ab, bestellte ab, bestell ab, bestellt ab, haben, abbestellt
abbeten, bete ab, betet ab, betete ab, betete ab, bet ab, betet ab, haben, abgebetet
abbetteln, bettele ab, bettelt ab, bettelte ab, bettelte ab, bettele ab, bettelt ab, haben, abgebettelt
abbeuteln, beutele ab, beutelt ab, beutelte ab, beutelte ab, beutele ab, beutelt ab, haben, abgebeutelt
abbezahlen, bezahle ab, bezahlt ab, bezahlte ab, bezahlte ab, bezahl ab, bezahlt ab, haben, abbezahlt
abbiegen, biege ab, biegt ab, bog ab, böge ab, bieg ab, biegt ab, haben, abgebogen
abbilden, bilde ab, bildet ab, bildete ab, bildete ab, bild ab, bildet ab, haben, abgebildet
abbimsen, bimse ab, bimst ab, bimste ab, bimste ab, bims ab, bimst ab, haben, abgebimst
abbinden, binde ab, bindet ab, band ab, bände ab, bind ab, bindet ab, haben, abgebunden
abbitten, bitte ab, bittet ab, bat ab, bäte ab, bitte ab, bittet ab, haben, abgebeten
abblasen, blase ab, bläst ab, blies ab, bliese ab, blas ab, blast ab, haben, abgeblasen
abblassen, blasse ab, blasst ab, blasste ab, blasste ab, blass ab, blasst ab, sein, abgeblasst
abblatteln, blattle ab, blattelt ab, blattelte ab, blattelte ab, blattle ab, blattelt ab, haben, sein, abgeblattelt
abbleiben, bleibe ab, bleibt ab, blieb ab, bliebe ab, bleibe ab, bleibt ab, sein, abgeblieben
abbleichen, bleiche ab, bleicht ab, bleichte ab, bleichte ab, bleiche ab, bleicht ab, sein, abgebleicht
abblenden, blende ab, blendet ab, blendete ab, blendete ab, blende ab, blendet ab, haben, abgeblendet
abblitzen, blitze ab, blitzt ab, blitzte ab, blitzte ab, blitze ab, blitzt ab, sein, abgeblitzt
abblocken, blocke ab, blockt ab, blockte ab, blockte ab, block ab, blockt ab, haben, abgeblockt
abblättern, blättre ab, blättert ab, blätterte ab, blätterte ab, blättre ab, blättert ab, sein, abgeblättert
abblühen, blühe ab, blüht ab, blühte ab, blühte ab, blühe ab, blüht ab, haben, abgeblüht
abbraten, brate ab, brät ab, briet ab, briete ab, brat ab, bratet ab, haben, abgebraten
abbrauchen, brauche ab, braucht ab, brauchte ab, brauchte ab, brauch ab, braucht ab, haben, abgebraucht
abbrechen, breche ab, bricht ab, brach ab, bräche ab, brich ab, brecht ab, haben, abgebrochen
abbremsen, bremse ab, bremst ab, bremste ab, bremste ab, brems ab, bremst ab, haben, abgebremst
abbrennen, brenne ab, brennt ab, brannte ab, brennte ab, brenn ab, brennt ab, haben, abgebrannt
abbreviieren, abbreviiere, abbreviiert, abbreviierte, abbreviierte, abbreviier, abbreviiert, haben, abbreviiert
abbringen, bringe ab, bringt ab, brachte ab, brächte ab, bring ab, bringt ab, haben, abgebracht
abbrocken, brocke ab, brockt ab, brockte ab, brockte ab, brocke ab, brockt ab, haben, abgebrockt
abbröckeln, bröckele ab, bröckelt ab, bröckelte ab, bröckelte ab, bröckele ab, bröckelt ab, haben, abgebröckelt
abbröseln, brösele ab, bröselt ab, bröselte ab, bröselte ab, brösele ab, bröselt ab, haben, abgebröselt
abbrühen, brühe ab, brüht ab, brühte ab, brühte ab, brüh ab, brüht ab, haben, abgebrüht
abbuchen, buche ab, bucht ab, buchte ab, buchte ab, buch ab, bucht ab, haben, abgebucht
abbuffen, buffe ab, bufft ab, buffte ab, buffte ab, buff ab, bufft ab, haben, abgebufft
abbummeln, bummle ab, bummelt ab, bummelte ab, bummelte ab, bummele ab, bummelt ab, haben, abgebummelt
abbusseln, bussle ab, busselt ab, busselte ab, busselte ab, bussel ab, busselt ab, haben, abgebusselt
abböschen, bösche ab, böscht ab, böschte ab, böschte ab, bösch ab, böscht ab, haben, abgeböscht
abbürsten, bürste ab, bürstet ab, bürstete ab, bürstete ab, bürst ab, bürstet ab, haben, abgebürstet
abbüßen, büße ab, büßt ab, büßte ab, büßte ab, büße ab, büßt ab, haben, abgebüßt
abcashen, cashe ab, casht ab, cashte ab, cashte ab, cash ab, casht ab, haben, abgecasht
abchangieren, changiere ab, changiert ab, changierte ab, changierte ab, changier ab, changiert ab, haben, abchangiert
abchecken, checke ab, checkt ab, checkte ab, checkte ab, check ab, checkt ab, haben, abgecheckt
abchoppen, choppe ab, choppt ab, choppte ab, choppte ab, chopp ab, choppt ab, haben, abgechoppt
abdampfen, dampfe ab, dampft ab, dampfte ab, dampfte ab, dampf ab, dampft ab, haben, abgedampft
abdanken, danke ab, dankt ab, dankte ab, dankte ab, danke ab, dankt ab, haben, abgedankt
abdecken, decke ab, deckt ab, deckte ab, deckte ab, deck ab, deckt ab, haben, abgedeckt
abdichten, dichte ab, dichtet ab, dichtete ab, dichtete ab, dichte ab, dichtet ab, haben, abgedichtet
abdienen, diene ab, dient ab, diente ab, diente ab, dien ab, dient ab, haben, abgedient
abdingen, dinge ab, dingt ab, dingte ab, dingte ab, dinge ab, dingt ab, haben, abgedingt
abdizieren, abdiziere, abdiziert, abdizierte, abdizierte, abdiziere, abdiziert, haben, abdiziert
abdrehen, drehe ab, dreht ab, drehte ab, drehte ab, dreh ab, dreht ab, haben, abgedreht
abdreschen, dresche ab, drischt ab, drasch ab, dräsche ab, drisch ab, drescht ab, haben, abgedroschen
abdriften, drifte ab, driftet ab, driftete ab, driftete ab, drift ab, driftet ab, sein, abgedriftet
abdrucken, drucke ab, druckt ab, druckte ab, druckte ab, druck ab, druckt ab, haben, abgedruckt
abdrängen, dränge ab, drängt ab, drängte ab, drängte ab, dränge ab, drängt ab, haben, abgedrängt
abdrücken, drücke ab, drückt ab, drückte ab, drückte ab, drück ab, drückt ab, haben, abgedrückt
abdunkeln, dunkle ab, dunkelt ab, dunkelte ab, dunkelte ab, dunkle ab, dunkelt ab, haben, abgedunkelt
abduzieren, abduziere, abduziert, abduzierte, abduzierte, abduzier, abduziert, haben, abduziert
abdämmen, dämme ab, dämmt ab, dämmte ab, dämmte ab, dämm ab, dämmt ab, haben, abgedämmt
abdüsen, düse ab, düst ab, düste ab, düste ab, düse ab, düst ab, sein, abgedüst
abebben, —, ebbt ab, ebbte ab, ebbte ab, —, —, sein, abgeebbt
abecedieren, abecediere, abecediert, abecedierte, abecedierte, abecediere, abecediert, haben, abecediert
abeisen, eise ab, eist ab, eiste ab, eiste ab, eis ab, eist ab, haben, abgeeist
abendessen, —, —, —, —, —, —, haben, abendgegessen
aberkennen, erkenne ab, erkennt ab, erkannte ab, erkennte ab, erkenne ab, erkennt ab, haben, aberkannt
abern, abere, abert, aberte, aberte, abere, abert, haben, geabert
abernten, ernte ab, erntet ab, erntete ab, erntete ab, ernt ab, erntet ab, haben, abgeerntet
aberrieren, aberriere, aberriert, aberrierte, aberrierte, aberrier, aberriert, haben, aberriert
aberziehen, erziehe ab, erzieht ab, erzog ab, erzöge ab, erzieh ab, erzieht ab, haben, aberzogen
abfackeln, fackele ab, fackelt ab, fackelte ab, fackelte ab, fackele ab, fackelt ab, haben, abgefackelt
abfahren, fahre ab, fährt ab, fuhr ab, führe ab, fahre ab, fahrt ab, sein, abgefahren
abfallen, falle ab, fällt ab, fiel ab, fiele ab, fall ab, fallt ab, sein, abgefallen
abfangen, fange ab, fängt ab, fing ab, finge ab, fange ab, fangt ab, haben, abgefangen
abfasen, fase ab, fast ab, faste ab, faste ab, fase ab, faset ab, haben, abgefast
abfassen, fasse ab, fasst ab, fasste ab, fasste ab, fass ab, fasst ab, haben, abgefasst
abfedern, federe ab, federt ab, federte ab, federte ab, feder ab, federt ab, haben, abgefedert
abfegen, fege ab, fegt ab, fegte ab, fegte ab, fege ab, fegt ab, haben, abgefegt
abfeiern, feiere ab, feiert ab, feierte ab, feierte ab, feier ab, feiert ab, haben, abgefeiert
abferkeln, —, ferkelt ab, ferkelte ab, ferkelte ab, —, —, haben, abgeferkelt
abfertigen, fertige ab, fertigt ab, fertigte ab, fertigte ab, fertige ab, fertigt ab, haben, abgefertigt
abfeuern, feuere ab, feuert ab, feuerte ab, feuerte ab, feuere ab, feuert ab, haben, abgefeuert
abfieseln, fiesle ab, fieselt ab, fieselte ab, fieselte ab, fiesle ab, fieselt ab, haben, abgefieselt
abfinden, finde ab, findet ab, fand ab, fände ab, finde ab, findet ab, haben, abgefunden
abfingern, fingere ab, fingert ab, fingerte ab, fingerte ab, fingere ab, fingert ab, haben, abgefingert
abfischen, fische ab, fischt ab, fischte ab, fischte ab, fisch ab, fischt ab, haben, abgefischt
abflachen, flache ab, flacht ab, flachte ab, flachte ab, flache ab, flacht ab, haben, abgeflacht
abflauen, —, flaut ab, flaute ab, flaute ab, —, —, sein, abgeflaut
abfliegen, fliege ab, fliegt ab, flog ab, flöge ab, fliege ab, fliegt ab, sein, abgeflogen
abfließen, fließe ab, fließt ab, floss ab, flösse ab, fließe ab, fließt ab, sein, abgeflossen
abformen, forme ab, formt ab, formte ab, formte ab, form ab, formt ab, haben, abgeformt
abfotografieren, fotografiere ab, fotografiert ab, fotografierte ab, fotografierte ab, fotografiere ab, fotografiert ab, haben, abfotografiert
abfragen, frage ab, fragt ab, fragte ab, fragte ab, frage ab, fragt ab, haben, abgefragt
abfressen, fresse ab, frisst ab, fraß ab, fräße ab, friss ab, fresst ab, haben, abgefressen
abfrieren, friere ab, friert ab, fror ab, fröre ab, frier ab, friert ab, sein, abgefroren
abfrühstücken, frühstücke ab, frühstückt ab, frühstückte ab, frühstückte ab, frühstücke ab, frühstückt ab, haben, abgefrühstückt
abfälschen, fälsche ab, fälscht ab, fälschte ab, fälschte ab, fälsche ab, fälscht ab, haben, abgefälscht
abfärben, färbe ab, färbt ab, färbte ab, färbte ab, färbe ab, färbt ab, haben, abgefärbt
abführen, führe ab, führt ab, führte ab, führte ab, führ ab, führt ab, haben, abgeführt
abfüllen, fülle ab, füllt ab, füllte ab, füllte ab, füll ab, füllt ab, haben, abgefüllt
abgeben, gebe ab, gibt ab, gab ab, gäbe ab, gib ab, gebt ab, haben, abgegeben
abgehen, gehe ab, geht ab, ging ab, ginge ab, geh ab, geht ab, sein, abgegangen
abgenicken, genicke ab, genickt ab, genickte ab, genickte ab, genicke ab, genickt ab, haben, abgenickt
abgenzern, genzere ab, genzert ab, genzerte ab, genzerte ab, genzer ab, genzert ab, haben, abgegenzert
abgeraten, gerate ab, gerät ab, geriet ab, geriete ab, gerate ab, geratet ab, sein, abgeraten
abgewinnen, gewinne ab, gewinnt ab, gewann ab, gewänne ab, gewinn ab, gewinnt ab, haben, abgewonnen
abgewöhnen, gewöhne ab, gewöhnt ab, gewöhnte ab, gewöhnte ab, gewöhn ab, gewöhnt ab, haben, abgewöhnt
abgießen, gieße ab, gießt ab, goss ab, gösse ab, gieß ab, gießt ab, haben, abgegossen
abgrenzen, grenze ab, grenzt ab, grenzte ab, grenzte ab, grenze ab, grenzt ab, haben, abgegrenzt
abgräbeln, gräbele ab, gräbelt ab, gräbelte ab, gräbelte ab, gräbele ab, gräbelt ab, sein, abgegräbelt
abhacken, hacke ab, hackt ab, hackte ab, hackte ab, hacke ab, hackt ab, haben, abgehackt
abhaken, hake ab, hakt ab, hakte ab, hakte ab, hak ab, hakt ab, haben, abgehakt
abhalten, halte ab, hält ab, hielt ab, hielte ab, halte ab, haltet ab, haben, abgehalten
abhandeln, handele ab, handelt ab, handelte ab, handelte ab, handel ab, handelt ab, haben, abgehandelt
abhandenkommen, komme abhanden, kommt abhanden, kam abhanden, käme abhanden, komme abhanden, kommt abhanden, sein, abhandengekommen
abhauen, haue ab, haut ab, hieb ab, hiebe ab, hau ab, haut ab, haben, abgehauen
abheben, hebe ab, hebt ab, hob ab, höbe ab, heb ab, hebt ab, haben, abgehoben
abheften, hefte ab, heftet ab, heftete ab, heftete ab, hefte ab, heftet ab, haben, abgeheftet
abhelfen, helfe ab, hilft ab, half ab, hülfe ab, hilf ab, helft ab, haben, abgeholfen
abherbeuteln, beutele abher, beutelt abher, beutelte abher, beutelte abher, beutele abher, beutelt abher, haben, abhergebeutelt
abhersagen, sage abher, sagt abher, sagte abher, sagte abher, sage abher, sagt abher, haben, abhergesagt
abhetzen, hetze ab, hetzt ab, hetzte ab, hetzte ab, hetze ab, hetzt ab, haben, abgehetzt
abhinfallen, falle abhin, fällt abhin, fiel abhin, fiele abhin, falle abhin, fallt abhin, sein, abhingefallen
abhingehen, gehe abhin, geht abhin, ging abhin, ginge abhin, geh abhin, geht abhin, sein, abhingegangen
abhinrutschen, rutsche abhin, rutscht abhin, rutschte abhin, rutschte abhin, rutsche abhin, rutscht abhin, sein, abhingerutscht
abhinschweiben, schweibe abhin, schweibt abhin, schweibte abhin, schweibte abhin, schweibe abhin, schweibt abhin, haben, abhingeschweibt
abhobeln, hobele ab, hobelt ab, hobelte ab, hobelte ab, hobele ab, hobelt ab, haben, abgehobelt
abholen, hole ab, holt ab, holte ab, holte ab, hole ab, holt ab, haben, abgeholt
abholzen, holze ab, holzt ab, holzte ab, holzte ab, holze ab, holzt ab, haben, abgeholzt
abhorreszieren, abhorresziere, abhorresziert, abhorreszierte, abhorreszierte, abhorresziere, abhorresziert, haben, abhorresziert
abhorrieren, abhorriere, abhorriert, abhorrierte, abhorrierte, abhorriere, abhorriert, haben, abhorriert
abhängen, hänge ab, hängt ab, hing ab, hinge ab, häng ab, hängt ab, haben, abgehangen
abhängen, hänge ab, hängt ab, hängte ab, hängte ab, häng ab, hängt ab, haben, abgehängt
abhären, häre ab, härt ab, härte ab, härte ab, häre ab, härt ab, haben, abgehärt
abhäuten, häute ab, häutet ab, häutete ab, häutete ab, häute ab, häutet ab, haben, abgehäutet
abhören, höre ab, hört ab, hörte ab, hörte ab, hör ab, hört ab, haben, abgehört
abisolieren, isoliere ab, isoliert ab, isolierte ab, isolierte ab, isolier ab, isoliert ab, haben, abisoliert
abjagen, jage ab, jagt ab, jagte ab, jagte ab, jag ab, jagt ab, haben, abgejagt
abjudizieren, abjudiziere, abjudiziert, abjudizierte, abjudizierte, abjudizier, abjudiziert, haben, abjudiziert
abjurieren, abjuriere, abjuriert, abjurierte, abjurierte, abjurier, abjuriert, haben, abjuriert
abkacken, kacke ab, kackt ab, kackte ab, kackte ab, kack ab, kackt ab, haben, abgekackt
abkapiteln, kapitele ab, kapitelt ab, kapitelte ab, kapitelte ab, kapitele ab, kapitelt ab, haben, abkapitelt
abkapseln, kapsle ab, kapselt ab, kapselte ab, kapselte ab, kapsel ab, kapselt ab, haben, abgekapselt
abkarten, karte ab, kartet ab, kartete ab, kartete ab, kart ab, kartet ab, haben, abgekartet
abkassieren, kassiere ab, kassiert ab, kassierte ab, kassierte ab, kassier ab, kassiert ab, haben, abkassiert
abkaufen, kaufe ab, kauft ab, kaufte ab, kaufte ab, kauf ab, kauft ab, haben, abgekauft
abkindern, kindere ab, kindert ab, kinderte ab, kinderte ab, kindere ab, kindert ab, haben, abgekindert
abklappern, klappere ab, klappert ab, klapperte ab, klapperte ab, klappere ab, klappert ab, haben, abgeklappert
abklatschen, klatsche ab, klatscht ab, klatschte ab, klatschte ab, klatsch ab, klatscht ab, haben, abgeklatscht
abklemmen, klemme ab, klemmt ab, klemmte ab, klemmte ab, klemm ab, klemmt ab, haben, abgeklemmt
abknallen, knalle ab, knallt ab, knallte ab, knallte ab, knall ab, knallt ab, haben, abgeknallt
abknicken, knicke ab, knickt ab, knickte ab, knickte ab, knick ab, knickt ab, haben, abgeknickt
abknutschen, knutsche ab, knutscht ab, knutschte ab, knutschte ab, knutsche ab, knutscht ab, haben, abgeknutscht
abknöpfen, knöpfe ab, knöpft ab, knöpfte ab, knöpfte ab, knöpf ab, knöpft ab, haben, abgeknöpft
abkommandieren, kommandiere ab, kommandiert ab, kommandierte ab, kommandierte ab, kommandiere ab, kommandiert ab, haben, abkommandiert
abkommen, komme ab, kommt ab, kam ab, käme ab, komm ab, kommt ab, sein, abgekommen
abkommen, komme ab, kommt ab, kam ab, käme ab, komm ab, kommt ab, sein, abgekommen
abkonterfeien, konterfeie ab, konterfeit ab, konterfeite ab, konterfeite ab, konterfei ab, konterfeit ab, haben, abgekonterfeit
abkratzen, kratze ab, kratzt ab, kratzte ab, kratzte ab, kratz ab, kratzt ab, haben, abgekratzt
abkrüppeln, krüppele ab, krüppelt ab, krüppelte ab, krüppelte ab, krüppele ab, krüppelt ab, sein, abgekrüppelt
abkupfern, kupfere ab, kupfert ab, kupferte ab, kupferte ab, kupfere ab, kupfert ab, haben, abgekupfert
abkönnen, kann ab, kann ab, konnte ab, könnte ab, —, —, haben, abgekonnt
abkühlen, kühle ab, kühlt ab, kühlte ab, kühlte ab, kühle ab, kühlt ab, haben, abgekühlt
abkündigen, kündige ab, kündigt ab, kündigte ab, kündigte ab, kündige ab, kündigt ab, haben, abgekündigt
abkürzen, kürze ab, kürzt ab, kürzte ab, kürzte ab, kürz ab, kürzt ab, haben, abgekürzt
abküssen, küsse ab, küsst ab, küsste ab, küsste ab, küss ab, küsst ab, haben, abgeküsst
abladen, lade ab, lädt ab, lud ab, lüde ab, lade ab, ladet ab, haben, abgeladen
ablaktieren, ablaktiere, ablaktiert, ablaktierte, ablaktierte, ablaktiere, ablaktiert, haben, ablaktiert
ablassen, lasse ab,  lässt ab, ließ ab, ließe ab, lass ab, lasst ab, haben, abgelassen
ablaufen, laufe ab, läuft ab, lief ab, liefe ab, laufe ab, lauft ab, haben, abgelaufen
ablegen, lege ab, legt ab, legte ab, legte ab, lege ab, legt ab, haben, abgelegt
ablehnen, lehne ab, lehnt ab, lehnte ab, lehnte ab, lehne ab, lehnt ab, haben, abgelehnt
ableiten, leite ab, leitet ab, leitete ab, leitete ab, leite ab, leitet ab, haben, abgeleitet
ablenken, lenke ab, lenkt ab, lenkte ab, lenkte ab, lenk ab, lenkt ab, haben, abgelenkt
ablesen, lese ab, liest ab, las ab, läse ab, lies ab, lest ab, haben, abgelesen
abliefern, liefere ab, liefert ab, lieferte ab, lieferte ab, liefer ab, liefert ab, haben, abgeliefert
ablosen, lose ab, lost ab, loste ab, loste ab, los ab, lost ab, haben, abgelost
ablozieren, abloziere, abloziert, ablozierte, ablozierte, abloziere, abloziert, haben, abloziert
ablästern, lästere ab, lästert ab, lästerte ab, lästerte ab, läster ab, lästert ab, haben, abgelästert
ablöschen, lösche ab, löscht ab, löschte ab, löschte ab, lösch ab, löscht ab, haben, abgelöscht
ablösen, löse ab, löst ab, löste ab, löste ab, löse ab, löst ab, haben, abgelöst
abmachen, mache ab, macht ab, machte ab, machte ab, mache ab, macht ab, haben, abgemacht
abmagern, magere ab, magert ab, magerte ab, magerte ab, magere ab, magert ab, haben, abgemagert
abmahnen, mahne ab, mahnt ab, mahnte ab, mahnte ab, mahn ab, mahnt ab, haben, abgemahnt
abmalen, male ab, malt ab, malte ab, malte ab, mal ab, malt ab, haben, abgemalt
abmarschieren, marschiere ab, marschiert ab, marschierte ab, marschierte ab, marschier ab, marschiert ab, haben, abmarschiert
abmelden, melde ab, meldet ab, meldete ab, meldete ab, meld ab, meldet ab, haben, abgemeldet
abmessen, messe ab, misst ab, maß ab, mäße ab, miss ab, messt ab, haben, abgemessen
abmoderieren, moderiere ab, moderiert ab, moderierte ab, moderierte ab, moderiere ab, moderiert ab, haben, abmoderiert
abmurksen, murkse ab, murkst ab, murkste ab, murkste ab, murkse ab, murkst ab, haben, abgemurkst
abmustern, mustere ab, mustert ab, musterte ab, musterte ab, mustere ab, mustert ab, haben, abgemustert
abmähen, mähe ab, mäht ab, mähte ab, mähte ab, mäh ab, mäht ab, haben, abgemäht
abmühen, mühe ab, müht ab, mühte ab, mühte ab, müh ab, müht ab, haben, abgemüht
abnabeln, nable ab, nabelt ab, nabelte ab, nabelte ab, nable ab, nabelt ab, haben, abgenabelt
abnehmen, nehme ab, nimmt ab, nahm ab, nähme ab, nimm ab, nehmt ab, haben, abgenommen
abnibbeln, nibble ab, nibbelt ab, nibbelte ab, nibbelte ab, nibble ab, nibbelt ab, sein, abgenibbelt
abnicken, nicke ab, nickt ab, nickte ab, nickte ab, nick ab, nickt ab, haben, abgenickt
abnippeln, nippele ab, nippelt ab, nippelte ab, nippelte ab, nipple ab, nippelt ab, sein, abgenippelt
abnudeln, nudele ab, nudelt ab, nudelte ab, nudelte ab, nudele ab, nudelt ab, haben, abgenudelt
abnutzen, nutze ab, nutzt ab, nutzte ab, nutzte ab, nutz ab, nutzt ab, haben, abgenutzt
abnützen, nütze ab, nützt ab, nützte ab, nützte ab, nütze ab, nützt ab, haben, abgenützt
abolieren, aboliere, aboliert, abolierte, abolierte, aboliere, aboliert, haben, aboliert
abonnieren, abonniere, abonniert, abonnierte, abonnierte, abonniere, abonniert, haben, abonniert
abortieren, abortiere, abortiert, abortierte, abortierte, abortiere, abortiert, haben, abortiert
abpacken, packe ab, packt ab, packte ab, packte ab, pack ab, packt ab, haben, abgepackt
abpassen, passe ab, passt ab, passte ab, passte ab, pass ab, passt ab, haben, abgepasst
abpatrouillieren, patrouilliere ab, patrouilliert ab, patrouillierte ab, patrouillierte ab, patrouillier ab, patrouilliert ab, haben, abpatrouilliert
abpausen, pause ab, paust ab, pauste ab, pauste ab, pause ab, paust ab, haben, abgepaust
abpellen, pelle ab, pellt ab, pellte ab, pellte ab, pelle ab, pellt ab, haben, abgepellt
abperlen, —, perlt ab, perlte ab, perlte ab, —, —, sein, abgeperlt
abpfeifen, pfeife ab, pfeift ab, pfiff ab, pfiffe ab, pfeife ab, pfeift ab, haben, abgepfiffen
abpflücken, pflücke ab, pflückt ab, pflückte ab, pflückte ab, pflücke ab, pflückt ab, haben, abgepflückt
abpimmeln, pimmel ab, pimmelt ab, pimmelte ab, pimmelte ab, pimmel ab, pimmelt ab, haben, abgepimmelt
abpinnen, pinne ab, pinnt ab, pinnte ab, pinnte ab, pinn ab, pinnt ab, haben, abgepinnt
abpipettieren, pipettiere ab, pipettiert ab, pipettierte ab, pipettierte ab, pipettier ab, pipettiert ab, haben, abpipettiert
abplacken, placke ab, plackt ab, plackte ab, plackte ab, placke ab, plackt ab, haben, abgeplackt
abpressen, presse ab, presst ab, presste ab, presste ab, press ab, presst ab, haben, abgepresst
abprotzen, protze ab, protzt ab, protzte ab, protzte ab, protz ab, protzt ab, haben, abgeprotzt
abpölen, pöle ab, pölt ab, pölte ab, pölte ab, pöle ab, pölt ab, haben, abgepölt
abqualifizieren, qualifiziere ab, qualifiziert ab, qualifizierte ab, qualifizierte ab, qualifiziere ab, qualifiziert ab, haben, abqualifiziert
abquatschen, quatsche ab, quatscht ab, quatschte ab, quatschte ab, quatsch ab, quatscht ab, haben, abgequatscht
abquetschen, quetsche ab, quetscht ab, quetschte ab, quetschte ab, quetsch ab, quetscht ab, haben, abgequetscht
abrackern, rackere ab, rackert ab, rackerte ab, rackerte ab, rackere ab, rackert ab, haben, abgerackert
abrasieren, rasiere ab, rasiert ab, rasierte ab, rasierte ab, rasier ab, rasiert ab, haben, abrasiert
